County,School District,Use Elementary School District,Code Number
Tompkins,Ithaca,,305
Tompkins,Lansing,,333
Tompkins,Moravia,,407
Tompkins,Newark Valley,,432
Tompkins,Newfield,,436
Tompkins,Odessa-Montour,,460
Tompkins,Southern Cayuga,,609
Tompkins,Spencer-Van Etten,,613
Tompkins,Trumansburg,,643
Ulster,Ellenville,,180
Ulster,Fallsburgh,,190
Ulster,Highland,,274
Ulster,Kingston,,322
Ulster,Livingston Manor,,349
Ulster,Margaretville,,375
Ulster,Marlboro,,377
Ulster,New Paltz,,427
Ulster,Onteora,,466
Ulster,Pine Bush,,495
Ulster,Rondout Valley,,543
Ulster,Saugerties,,563
Ulster,Tri-Valley,,640
Ulster,Valley,,405
Ulster,Wallkill,,662
Warren,Abraham Wing,,226
Warren,Bolton,,055
Warren,Corinth,,131
Warren,Glens Falls,,225
Warren,Hadley-Luzerne,,247
Warren,Hudson Falls,,290
Warren,Johnsburg,,312
Warren,Lake George,,327
Warren,Minerva,,399
Warren,North Warren,,451
Warren,Queensbury,,520
Warren,Schroon Lake,,573
Warren,Ticonderoga,,636
Warren,Warrensburg,,666
Washington,Argyle,,020
Washington,Cambridge,,078
Washington,Fort Ann,,199
Washington,Fort Edward,,200
Washington,Granville,,233
Washington,Greenwich,,241
Washington,Hartford,,262
Washington,Hoosick Falls,,285
Washington,Hoosic Valley,,284
Washington,Hudson Falls,,290
Washington,Lake George,,327
Washington,Putnam,,517
Washington,Salem,,557
Washington,Schuylerville,,574
Washington,Stillwater,,623
Washington,Whitehall,,700
Wayne,Cato-Meridian,,092
Wayne,Clyde-Savannah,,118
Wayne,Gananda,,213
Wayne,Lyons,,360
Wayne,Marion,,376
Wayne,North Rose-Wolcott,,446
Wayne,Newark,,431
Wayne,Palmyra-Macedon,,478
Wayne,Penfield,,488
Wayne,Phelps-Clifton Springs (Midlakes),,493
Wayne,Port Byron,,507
Wayne,Red Creek,,525
Wayne,Sodus,,592
Wayne,Victor,,659
Wayne,Wayne,,678
Wayne,Webster,,679
Wayne,Williamson,,705
Westchester,Ardsley,,019
Westchester,Bedford,,042
Westchester,Blind Brook,,535
Westchester,Briarcliff Manor,,061
Westchester,Bronxville,,069
Westchester,Byram Hills,,023
Westchester,Chappaqua,,100
Westchester,Croton-Harmon,,136
Westchester,Dobbs Ferr,,147
Westchester,Eastchester,,169
Westchester,Edgemont,,172
Westchester,Elmsford,,185
Westchester,Greenburgh Central 7,,237
Westchester,Harrison,,260
Westchester,Hastings-on-Hudson,,263
Westchester,Hendrick Hudson,,267
Westchester,Irvington,,301
Westchester,Katonah-Lewisboro,,316
Westchester,Lakeland,,331
Westchester,Mamaroneck,,367
Westchester,Mount Pleasant,,417
Westchester,Mount Vernon,,416
Westchester,New Rochelle,,428
Westchester,North Salem,,447
Westchester,Ossining,,471
Westchester,Peekskill,,485
Westchester,Pelham,,486
Westchester,Pleasantville,,504
Westchester,Pocantico Hills,,505
Westchester,Port Chester,,508
Westchester,Putnam Valley,,518
Westchester,Rye,,551
Westchester,Rye Neck,,552
Westchester,Scarsdale,,567
Westchester,Somers,,594
Westchester,Tarrytowns,,633
Westchester,Tuckahoe Union Free,,644
Westchester,Valhalla,,654
Westchester,White Plains,,699
Westchester,Yonkers,,715
Westchester,Yorktown,,717
Wyoming,Alden,,007
Wyoming,Alexander,,008
Wyoming,Attica,,024
Wyoming,Dalton-Nunda (Keshequa),,320
Wyoming,Fillmore,,192
Wyoming,Holland,,278
Wyoming,Iroquois,,300
Wyoming,Letchworth,,339
Wyoming,Pavilion,,482
Wyoming,Perry,,490
Wyoming,Pioneer,,498
Wyoming,Warsaw,,667
Wyoming,Wyoming,,714
Wyoming,York,,716
Yates,Dundee,,154
Yates,Geneva,,219
Yates,Marcus Whitman,,374
Yates,Naples,,420
Yates,Penn Yan,,489
Yates,Prattsburg,,515
