County,School District,Use Elementary School District,Code Number
Erie,Hamburg,,251
Erie,Holland,,278
Erie,Iroquois,,300
Erie,Kenmore-Town of Tonawanda,,319
Erie,Lackawanna,,326
Erie,Lake Shore,,330
Erie,Lancaster,,332
Erie,Maryvale,,378
Erie,North Collins,,442
Erie,Orchard Park,,468
Erie,Pioneer,,498
Erie,Silver Creek,,587
Erie,Springville-Griffith Institute,,244
Erie,Sweet Home,,628
Erie,Tonawanda City,,638
Erie,West Seneca,,689
Erie,Williamsville,,706
Essex,AuSable Valley,,026
Essex,Boquet Valley,,179
Essex,Crown Point,,137
Essex,Keene,,317
Essex,Lake Placid,,328
Essex,Minerva,,399
Essex,Moriah,,408
Essex,Newcomb,,434
Essex,Putnam,,517
Essex,Saranac Lake,,561
Essex,Schroon Lake,,573
Essex,Ticonderoga,,636
Essex,Willsboro,,707
Franklin,AuSable Valley,,026
Franklin,Brasher Falls,,058
Franklin,Brushton-Moira,,072
Franklin,Chateaugay,,102
Franklin,Malone,,365
Franklin,Northern Adirondack,,453
Franklin,Salmon River,,558
Franklin,Saranac Lake,,561
Franklin,St. Regis Falls,,619
Franklin,Tupper Lake,,647
Fulton,Amsterdam,,015
Fulton,Broadalbin-Perth,,065
Fulton,Dolgeville,,148
Fulton,Edinburg,,173
Fulton,Fonda-Fultonville,,197
Fulton,Fort Plain,,201
Fulton,Galway,,212
Fulton,Gloversville,,227
Fulton,Johnstown,,314
Fulton,Mayfield,,383
Fulton,Northville,,454
Fulton,Oppenheim-Ephratah-St.Johnsville,,467
Fulton,Wheelerville,,698
Genesee,Akron,,004
Genesee,Albion,,006
Genesee,Alden,,007
Genesee,Alexander,,008
Genesee,Attica,,024
Genesee,Batavia,,036
Genesee,Brockport,,066
Genesee,Byron Bergen,,075
Genesee,Caledonia-Mumford,,077
Genesee,Elba,,177
Genesee,Iroquois,,300
Genesee,Le Roy,,338
Genesee,Medina,,387
Genesee,Oakfield-Alabama,,458
Genesee,Pavilion,,482
Genesee,Pembroke,,487
Genesee,Royalton-Hartland,,548
Genesee,Wyoming,,714
Greene,Cairo-Durham,,076
Greene,Catskill,,093
Greene,Coxsackie-Athens,,135
Greene,Gilboa-Conesville,,223
Greene,Greenville,,240
Greene,Hunter-Tannersville,,291
Greene,Margaretville,,375
Greene,Onteora,,466
Greene,Ravena-Coeymans-Selkirk,,524
Greene,Windham-Ashland-Jewett,,709
Hamilton,Indian Lake,,296
Hamilton,Inlet,,298
Hamilton,Lake Pleasant,,329
Hamilton,Long Lake,,354
Hamilton,Northville,,454
Hamilton,Piseco,,499
Hamilton,Poland,,506
Hamilton,Raquette Lake,,523
Hamilton,Wells,,682
Herkimer,Adirondack,,002
Herkimer,Central Valley,,295
Herkimer,Cherry Valley-Springfield,,616
Herkimer,Dolgeville,,148
Herkimer,Fort Plain,,201
Herkimer,Frankfort-Schuyler,,202
Herkimer,Herkimer,,268
Herkimer,Holland Patent,,279
Herkimer,Little Falls,,346
Herkimer,Mount Markham,,412
Herkimer,New Hartford,,424
Herkimer,Oppenheim-Ephratah-St. Johnsville,,467
Herkimer,Owen D. Young (Van Hornesville),,474
Herkimer,Poland,,506
Herkimer,Remsen,,528
Herkimer,Richfield Springs,,533
Herkimer,Sauquoit Valley,,564
Herkimer,Town of Webb,,639
Herkimer,West Canada Valley,,685
Jefferson,Alexandria,,009
Jefferson,Belleville Henderson,,045
Jefferson,Carthage,,090
Jefferson,Copenhagen,,129
Jefferson,General Brown,,217
Jefferson,Gouverneur,,229
Jefferson,Hammond,,253
Jefferson,Indian River,,297
Jefferson,LaFargeville,,324
Jefferson,Lyme,,356
Jefferson,Sackets Harbor,,288
Jefferson,Sandy Creek,,559
Jefferson,South Jefferson,,600
Jefferson,Thousand Islands,,634
Jefferson,Watertown,,672
Lewis,Adirondack,,002
Lewis,Beaver River,,041
Lewis,Camden,,079
Lewis,Carthage,,090
Lewis,Copenhagen,,129
Lewis,Harrisville,,261
Lewis,Lowville Academy and Central,,355
Lewis,Sandy Creek,,559
Lewis,South Jefferson,,600
Lewis,South Lewis,,602
Livingston,Avon,,029
Livingston,Caledonia-Mumford,,077
Livingston,Canaseraga,,083
Livingston,Dalton-Nunda (Keshequa),,320
Livingston,Dansville,,140
Livingston,Geneseo,,218
Livingston,Honeoye,,282
Livingston,Honeoye Falls-Lima,,283
Livingston,Le Roy,,338
Livingston,Livonia,,350
Livingston,Mount Morris,,413
Livingston,Naples,,420
Livingston,Pavilion,,482
Livingston,Perry,,490
Livingston,Wayland-Cohocton,,677
Livingston,Wheatland-Chili,,697
Livingston,York,,716
Madison,Brookfield,,070
Madison,Canastota,,084
Madison,Cazenovia,,095
Madison,Chittenango,,111
Madison,DeRuyter,,141
Madison,East Syracuse-Minoa,,167
Madison,Edmeston,,174
Madison,Fabius-Pompey,,187
Madison,Fayetteville-Manlius,,370
Madison,Hamilton,,252
Madison,Madison,,361
Madison,Morrisville-Eaton,,411
Madison,Mount Markham,,412
Madison,Oneida,,463
Madison,Otselic Valley,,606
Madison,Sherburne-Earlville,,582
Madison,Stockbridge Valley,,624
Madison,Unadilla Valley,,422
Madison,Vernon-Verona-Sherrill,,584
Madison,Waterville,,673
Manhattan (see New York),Manhattan,,369
Monroe,Avon,,029
Monroe,Brighton,,063
Monroe,Brockport,,066
Monroe,Byron Bergen,,075
Monroe,Caledonia-Mumford,,077
Monroe,Churchville-Chili,,112
Monroe,East Irondequoit,,160
Monroe,East Rochester,,165
Monroe,Fairport,,188
Monroe,Gates Chili,,216
Monroe,Greece,,235
Monroe,Hilton,,276
Monroe,Holley,,280
Monroe,Honeoye Falls-Lima,,283
Monroe,Kendall,,318
Monroe,Penfield,,488
Monroe,Pittsford,,500
Monroe,Rochester,,538
Monroe,Rush-Henrietta,,549
Monroe,Spencerport,,614
Monroe,Victor,,659
Monroe,Wayne,,678
Monroe,Webster,,679
Monroe,West Irondequoit,,299
Monroe,Wheatland-Chili,,697
Montgomery,Amsterdam,,015
Montgomery,Broadalbin-Perth,,065
Montgomery,Canajoharie,,081
Montgomery,Cherry Valley-Springfield,,616
Montgomery,Cobleskill-Richmondville,,120
Montgomery,Duanesburg,,153
Montgomery,Fonda-Fultonville,,197
Montgomery,Fort Plain,,201
Montgomery,Galway,,212
Montgomery,Johnstown,,314
Montgomery,Oppenheim-Ephratah-St. Johnsville,,467
Montgomery,Owen D. Young (Van Hornesville),,474
Montgomery,Schalmont,,568
Montgomery,Schoharie,,572
Montgomery,Scotia-Glenville,,576
Montgomery,Sharon Springs,,579
Nassau,Amityville,,014
Nassau,Baldwin,,032
Nassau,Bellmore,,046
Nassau,Bellmore-Merrick CHS,Bellmore,046
Nassau,Bellmore-Merrick CHS,North Bellmore,441
Nassau,Bellmore-Merrick CHS,Merrick,389
Nassau,Bellmore-Merrick CHS,North Merrick,444
Nassau,Bethpage,,052
Nassau,Carle Place,,088
Nassau,Cold Spring Harbor,,123
Nassau,East Meadow,,162
Nassau,East Rockaway,,166
Nassau,East Williston,,168
Nassau,Elmont,,184
Nassau,Farmingdale,,191
Nassau,Floral Park-Bellerose,,195
Nassau,Franklin Square,,204
Nassau,Freeport,,207
Nassau,Garden City,,214
